"year","month","day","ssp126","ssp245","ssp370","ssp585"
2028,8,19,0.5794,1.5498,0.0419,23.4394
2028,8,20,0.0104,0.1258,32.9514,0.7159
2028,8,21,5.5517,0.153,9.0128,0.0041
2028,8,22,5.5841,3.8546,0.8357,0.6911
2028,8,23,3.3504,1.7975,5.1685,6e-04
2028,8,24,0,0.2424,12.9441,0.7853
2028,8,25,1e-04,0.3317,10.8361,2.8317
2028,8,26,0.6243,0,4.5233,1.5928
2028,8,27,0.0021,5e-04,0,3.8329
2028,8,28,0.92,0.0079,2.1199,15.1282
2028,8,29,0.4811,8.3385,5.1245,8.1217
2028,8,30,6.0106,2.443,0,0.0511
2028,8,31,2.1555,1.5788,5e-04,0.0043
2029,8,1,4.4545,1.2187,2.2157,12.8896
2029,8,2,4.9033,10.8705,0.0516,3.0851
2029,8,3,10.629,2.7387,0.1063,2.2091
2029,8,4,4.252,2.377,0.4856,6.3153
2029,8,5,7.673,3.1942,13.9335,3.582
2029,8,6,13.9093,0.68,13.6609,8.8627
2029,8,7,7.6435,1.87,0.3402,2.4912
2029,8,8,1.2639,0.2455,0.3543,0.0589
2029,8,9,1.4676,0.6865,1.852,2.5872
2029,8,10,6.3517,0.8573,1.5011,4.6299
2029,8,11,10.0709,3.518,2.6817,0.298
2029,8,12,20.8718,0.1895,19.064,4.4287
2029,8,13,0.3771,0.0028,3e-04,0.086
2029,8,14,0.2632,0.0043,0.3819,0.0894
2029,8,15,0,0.1563,0.0075,0.0125
2029,8,16,0.5981,1.2862,0.0259,4.7329
2029,8,17,9.5672,0.075,9.1531,2.7381
2029,8,18,3.7901,0,5.0586,0.0618
2029,8,19,0.2203,0.1366,0.0764,0
2029,8,20,0,0.0094,0,0
2029,8,21,1e-04,2.8282,0,0.0065
2029,8,22,0.3553,1.6908,0,0.8221
2029,8,23,4.2008,5.2482,0.1069,0.3683
2029,8,24,1.5986,9.7906,18.8341,0
2029,8,25,2.6601,21.8204,1.0965,0
2029,8,26,6.9151,16.2989,1.1374,9.6612
2029,8,27,9.1582,6.0929,1.8721,0.9542
2029,8,28,5.3654,0.6737,0.0847,1.8945
2029,8,29,0.1729,3.1391,1.2124,3.5554
2029,8,30,0.0031,2.6496,15.4672,2.2246
2029,8,31,0.2248,4.2186,7.7731,15.4189
2030,8,1,4.1128,0,3.5052,0
2030,8,2,0.4854,0,1.7071,3e-04
2030,8,3,0.6729,2.4036,0.3474,0.0192
2030,8,4,0.1194,3.058,0.2197,0.011
2030,8,5,10.8423,0.2289,0.4719,0.2668
2030,8,6,1.132,0.8603,1.1009,0.2605
2030,8,7,7.1002,0.4151,9.4887,0.0892
2030,8,8,1.2715,0.0201,4.0211,5.6243
2030,8,9,0.0313,0.7855,7.987,0.737
2030,8,10,0.0113,0.9703,0.6621,0.8799
2030,8,11,0.0827,3.0145,4.6967,1.0969
2030,8,12,0.2501,0.3859,6.5339,0.5988
2030,8,13,5.1038,0.0044,1.043,0
2030,8,14,1.8227,0.0013,0,0.3454
2030,8,15,0,2.7439,10.3377,1.5033
2030,8,16,0.7395,6.8085,2.0899,9.1916
2030,8,17,15.0076,0.0248,6.5822,5.717
2030,8,18,6.9953,0,4.8354,12.8117
2030,8,19,1.9796,0,1.4524,4.2383
2030,8,20,0.6024,0,0.3483,0.068
2030,8,21,0.0039,0.114,0,0
2030,8,22,0.0214,0.3395,0,0.0111
